Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       Egz.
Vardas1             Pavarde1            8         8         0         0         5         9
Vardas2             Pavarde2            4         0         4         2         1         5
Vardas3             Pavarde3            9         6         1         10        5         5
Vardas4             Pavarde4            9         5         9         6         7         10
Vardas5             Pavarde5            9         2         6         10        5         5
Vardas6             Pavarde6            4         4         3         3         4         10
Vardas7             Pavarde7            0         2         1         6         10        8
Vardas8             Pavarde8            10        3         6         7         4         0
Vardas9             Pavarde9            2         2         4         3         5         1
Vardas10            Pavarde10           3         3         9         7         4         1
Vardas11            Pavarde11           8         4         8         8         0         2
Vardas12            Pavarde12           3         1         5         8         7         0
Vardas13            Pavarde13           2         3         7         6         1         3
Vardas14            Pavarde14           9         9         4         3         1         2
Vardas15            Pavarde15           8         5         4         0         0         4
Vardas16            Pavarde16           4         0         7         6         9         5
Vardas17            Pavarde17           6         1         4         4         7         2
Vardas18            Pavarde18           6         1         10        2         2         8
Vardas19            Pavarde19           9         7         6         0         4         7
Vardas20            Pavarde20           3         7         4         4         8         9
Vardas21            Pavarde21           4         1         7         0         10        1
Vardas22            Pavarde22           5         1         5         6         6         3
Vardas23            Pavarde23           9         4         4         10        9         10
Vardas24            Pavarde24           0         1         4         9         8         9
Vardas25            Pavarde25           5         10        8         9         6         4
Vardas26            Pavarde26           9         10        2         10        10        2
Vardas27            Pavarde27           7         1         4         8         1         7
Vardas28            Pavarde28           9         3         10        4         0         7
Vardas29            Pavarde29           2         8         9         8         1         5
Vardas30            Pavarde30           9         7         3         1         3         9
Vardas31            Pavarde31           3         2         8         4         9         9
Vardas32            Pavarde32           8         2         4         10        10        1
Vardas33            Pavarde33           2         10        10        3         1         3
Vardas34            Pavarde34           9         2         1         6         3         6
Vardas35            Pavarde35           4         1         6         4         8         10
Vardas36            Pavarde36           9         3         6         4         1         2
Vardas37            Pavarde37           6         6         2         1         3         8
Vardas38            Pavarde38           4         8         9         2         6         7
Vardas39            Pavarde39           10        0         2         0         1         1
Vardas40            Pavarde40           3         10        9         7         0         1
Vardas41            Pavarde41           3         5         2         6         9         0
Vardas42            Pavarde42           3         3         7         1         8         3
Vardas43            Pavarde43           6         10        9         4         1         0
Vardas44            Pavarde44           7         9         5         6         3         9
Vardas45            Pavarde45           2         1         9         3         5         3
Vardas46            Pavarde46           0         5         5         1         0         5
Vardas47            Pavarde47           8         5         4         1         1         4
Vardas48            Pavarde48           0         0         4         8         0         10
Vardas49            Pavarde49           1         9         10        3         8         7
Vardas50            Pavarde50           8         5         5         8         7         5
Vardas51            Pavarde51           1         4         6         5         9         1
Vardas52            Pavarde52           4         9         2         2         9         10
Vardas53            Pavarde53           6         3         5         6         5         6
Vardas54            Pavarde54           1         10        5         8         0         5
Vardas55            Pavarde55           8         8         7         9         2         0
Vardas56            Pavarde56           8         0         5         0         5         10
Vardas57            Pavarde57           2         4         1         4         7         4
Vardas58            Pavarde58           9         5         4         4         2         1
Vardas59            Pavarde59           2         2         7         6         10        1
Vardas60            Pavarde60           7         10        6         10        5         4
Vardas61            Pavarde61           2         10        3         7         10        8
Vardas62            Pavarde62           8         1         7         5         10        4
Vardas63            Pavarde63           3         10        7         7         6         1
Vardas64            Pavarde64           10        4         5         7         3         3
Vardas65            Pavarde65           2         0         8         3         8         6
