Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       Egz.
Vardas1             Pavarde1            0         5         8         3         6         5
Vardas2             Pavarde2            1         0         2         7         6         8
Vardas3             Pavarde3            0         10        5         10        5         3
Vardas4             Pavarde4            3         9         6         3         3         7
Vardas5             Pavarde5            1         6         6         1         5         9
Vardas6             Pavarde6            4         1         1         7         4         0
Vardas7             Pavarde7            8         3         4         0         9         10
Vardas8             Pavarde8            7         4         4         0         9         4
Vardas9             Pavarde9            1         4         0         3         6         10
Vardas10            Pavarde10           8         3         8         5         10        2
Vardas11            Pavarde11           0         4         10        7         6         3
Vardas12            Pavarde12           1         4         2         6         7         10
Vardas13            Pavarde13           3         6         3         9         4         4
Vardas14            Pavarde14           7         4         0         5         6         4
Vardas15            Pavarde15           8         0         10        0         5         2
Vardas16            Pavarde16           8         2         1         0         7         6
Vardas17            Pavarde17           7         5         1         8         2         2
Vardas18            Pavarde18           1         6         9         7         7         4
Vardas19            Pavarde19           7         1         8         6         3         0
Vardas20            Pavarde20           0         2         1         6         10        2
Vardas21            Pavarde21           4         1         2         7         7         2
Vardas22            Pavarde22           5         1         0         9         2         8
Vardas23            Pavarde23           2         3         8         2         7         7
Vardas24            Pavarde24           0         6         7         2         4         8
Vardas25            Pavarde25           6         3         2         4         3         2
Vardas26            Pavarde26           7         6         3         7         6         5
Vardas27            Pavarde27           2         9         3         4         2         7
Vardas28            Pavarde28           8         9         6         6         6         10
Vardas29            Pavarde29           10        0         4         3         5         3
Vardas30            Pavarde30           4         2         10        6         4         1
Vardas31            Pavarde31           9         3         6         2         3         10
Vardas32            Pavarde32           7         4         10        8         6         6
Vardas33            Pavarde33           5         4         3         2         8         5
Vardas34            Pavarde34           7         8         9         9         3         10
Vardas35            Pavarde35           5         8         10        4         6         6
Vardas36            Pavarde36           8         8         4         7         7         7
Vardas37            Pavarde37           3         10        5         2         7         2
Vardas38            Pavarde38           4         0         4         10        8         2
Vardas39            Pavarde39           6         6         7         8         6         9
Vardas40            Pavarde40           5         1         1         8         10        0
Vardas41            Pavarde41           3         3         6         0         2         6
Vardas42            Pavarde42           9         1         8         8         8         6
Vardas43            Pavarde43           6         0         10        10        6         10
Vardas44            Pavarde44           4         10        9         7         3         8
Vardas45            Pavarde45           1         4         0         8         4         0
Vardas46            Pavarde46           7         9         10        6         3         5
Vardas47            Pavarde47           9         2         4         5         7         7
Vardas48            Pavarde48           4         4         2         4         10        5
Vardas49            Pavarde49           6         7         8         9         10        1
Vardas50            Pavarde50           6         7         5         2         9         2
Vardas51            Pavarde51           3         9         10        4         10        9
Vardas52            Pavarde52           5         1         8         9         3         10
Vardas53            Pavarde53           2         6         4         0         2         10
Vardas54            Pavarde54           8         3         0         7         2         3
Vardas55            Pavarde55           10        6         3         3         0         1
Vardas56            Pavarde56           8         3         1         2         10        2
Vardas57            Pavarde57           6         4         2         1         7         3
Vardas58            Pavarde58           7         8         10        8         10        5
Vardas59            Pavarde59           1         9         4         3         4         4
Vardas60            Pavarde60           0         3         2         2         0         9
Vardas61            Pavarde61           7         2         5         8         7         8
Vardas62            Pavarde62           8         0         2         7         10        9
Vardas63            Pavarde63           8         4         8         9         1         2
Vardas64            Pavarde64           4         1         3         2         5         9
Vardas65            Pavarde65           4         2         0         3         4         6
Vardas66            Pavarde66           2         2         4         5         7         9
Vardas67            Pavarde67           6         3         0         2         1         2
Vardas68            Pavarde68           4         8         5         1         5         10
Vardas69            Pavarde69           8         7         6         8         5         4
Vardas70            Pavarde70           4         3         10        0         6         7
Vardas71            Pavarde71           8         1         9         6         1         10
Vardas72            Pavarde72           9         10        7         3         4         10
Vardas73            Pavarde73           9         2         7         0         1         10
Vardas74            Pavarde74           4         8         7         8         3         6
Vardas75            Pavarde75           3         3         2         1         5         2
Vardas76            Pavarde76           3         2         3         6         3         0
Vardas77            Pavarde77           8         4         9         5         1         3
Vardas78            Pavarde78           2         3         1         4         5         6
Vardas79            Pavarde79           3         10        10        9         4         3
Vardas80            Pavarde80           8         5         2         1         3         3
Vardas81            Pavarde81           9         5         8         3         9         5
Vardas82            Pavarde82           2         0         3         8         7         6
Vardas83            Pavarde83           8         1         4         2         3         5
Vardas84            Pavarde84           10        9         4         9         0         10
Vardas85            Pavarde85           6         8         1         0         8         1
Vardas86            Pavarde86           9         2         6         3         8         3
Vardas87            Pavarde87           8         3         7         1         1         6
Vardas88            Pavarde88           5         2         4         0         7         3
Vardas89            Pavarde89           8         2         9         1         5         9
Vardas90            Pavarde90           4         6         8         2         5         7
Vardas91            Pavarde91           3         4         2         5         1         5
Vardas92            Pavarde92           4         8         10        4         10        0
Vardas93            Pavarde93           1         8         3         5         8         3
Vardas94            Pavarde94           3         3         2         4         4         2
Vardas95            Pavarde95           10        8         10        4         1         0
Vardas96            Pavarde96           5         6         5         7         1         10
Vardas97            Pavarde97           8         6         0         1         4         3
Vardas98            Pavarde98           1         7         3         7         10        6
Vardas99            Pavarde99           8         6         9         10        1         6
Vardas100           Pavarde100          9         5         1         6         7         1
Vardas101           Pavarde101          6         8         0         4         9         8
Vardas102           Pavarde102          5         10        6         10        5         7
Vardas103           Pavarde103          3         7         2         3         9         1
Vardas104           Pavarde104          2         7         10        6         1         7
Vardas105           Pavarde105          9         8         10        9         5         8
Vardas106           Pavarde106          8         9         6         10        3         1
Vardas107           Pavarde107          3         7         4         5         4         2
Vardas108           Pavarde108          1         10        9         5         5         7
Vardas109           Pavarde109          3         5         10        1         2         4
Vardas110           Pavarde110          10        3         10        1         0         6
Vardas111           Pavarde111          10        2         0         3         8         6
Vardas112           Pavarde112          8         10        1         6         8         8
Vardas113           Pavarde113          4         10        8         0         4         9
Vardas114           Pavarde114          5         0         7         8         4         10
Vardas115           Pavarde115          10        1         5         5         6         9
Vardas116           Pavarde116          9         4         9         2         7         3
Vardas117           Pavarde117          0         3         10        8         3         1
Vardas118           Pavarde118          3         1         10        6         6         7
Vardas119           Pavarde119          10        0         0         0         9         6
Vardas120           Pavarde120          10        0         1         6         9         9
Vardas121           Pavarde121          5         7         8         5         2         5
Vardas122           Pavarde122          10        7         1         9         1         7
Vardas123           Pavarde123          7         2         7         5         4         9
Vardas124           Pavarde124          8         0         5         7         8         3
Vardas125           Pavarde125          3         4         9         4         6         2
Vardas126           Pavarde126          7         6         10        10        4         0
Vardas127           Pavarde127          10        6         0         3         10        3
Vardas128           Pavarde128          7         7         8         6         3         6
Vardas129           Pavarde129          4         3         4         8         6         5
Vardas130           Pavarde130          7         5         1         10        10        4
Vardas131           Pavarde131          10        1         1         0         1         5
Vardas132           Pavarde132          5         0         8         3         7         9
Vardas133           Pavarde133          3         9         3         0         2         10
Vardas134           Pavarde134          10        9         7         4         8         3
Vardas135           Pavarde135          1         1         6         7         2         7
Vardas136           Pavarde136          0         1         3         10        9         5
Vardas137           Pavarde137          4         6         10        4         0         10
Vardas138           Pavarde138          2         1         1         2         0         0
Vardas139           Pavarde139          5         10        8         3         7         7
Vardas140           Pavarde140          7         7         9         7         4         2
Vardas141           Pavarde141          1         10        7         7         6         8
Vardas142           Pavarde142          5         0         10        9         3         9
Vardas143           Pavarde143          2         5         6         9         5         10
Vardas144           Pavarde144          2         10        8         10        6         3
Vardas145           Pavarde145          6         7         0         0         4         5
Vardas146           Pavarde146          8         2         4         2         1         7
Vardas147           Pavarde147          8         1         8         1         3         5
Vardas148           Pavarde148          0         1         9         4         4         10
Vardas149           Pavarde149          5         3         2         3         0         1
Vardas150           Pavarde150          7         0         2         2         6         3
Vardas151           Pavarde151          2         5         2         10        8         3
Vardas152           Pavarde152          1         0         6         1         1         1
Vardas153           Pavarde153          0         6         9         10        2         7
Vardas154           Pavarde154          6         3         9         4         4         0
Vardas155           Pavarde155          0         1         8         7         8         3
Vardas156           Pavarde156          6         10        2         0         2         8
Vardas157           Pavarde157          6         2         10        7         7         9
Vardas158           Pavarde158          0         9         5         7         3         4
Vardas159           Pavarde159          3         3         1         10        8         4
Vardas160           Pavarde160          2         6         9         3         7         7
Vardas161           Pavarde161          4         8         5         8         3         1
Vardas162           Pavarde162          3         6         1         5         2         9
Vardas163           Pavarde163          6         9         10        0         7         3
Vardas164           Pavarde164          4         2         0         7         0         7
Vardas165           Pavarde165          5         4         6         6         10        9
Vardas166           Pavarde166          7         7         7         7         7         4
Vardas167           Pavarde167          10        9         7         1         0         10
Vardas168           Pavarde168          7         8         7         8         9         5
Vardas169           Pavarde169          6         9         9         7         8         7
Vardas170           Pavarde170          4         1         6         4         6         6
Vardas171           Pavarde171          3         2         0         7         4         0
Vardas172           Pavarde172          2         10        5         6         2         9
Vardas173           Pavarde173          5         10        1         4         9         7
Vardas174           Pavarde174          3         4         5         4         1         10
Vardas175           Pavarde175          2         4         4         2         3         6
Vardas176           Pavarde176          7         3         8         9         10        9
Vardas177           Pavarde177          3         8         1         0         7         10
Vardas178           Pavarde178          4         6         10        6         3         0
Vardas179           Pavarde179          3         8         0         10        10        3
Vardas180           Pavarde180          1         9         5         10        4         3
Vardas181           Pavarde181          0         2         10        8         10        8
Vardas182           Pavarde182          9         3         10        7         7         6
Vardas183           Pavarde183          6         5         6         3         3         3
Vardas184           Pavarde184          5         0         2         8         7         8
Vardas185           Pavarde185          2         0         1         6         4         3
Vardas186           Pavarde186          4         1         6         5         7         6
Vardas187           Pavarde187          8         0         9         10        9         5
Vardas188           Pavarde188          10        0         4         0         3         2
Vardas189           Pavarde189          9         4         6         7         4         9
Vardas190           Pavarde190          2         3         6         2         10        6
Vardas191           Pavarde191          10        2         1         9         10        1
Vardas192           Pavarde192          4         6         4         1         4         0
Vardas193           Pavarde193          7         9         2         3         4         1
Vardas194           Pavarde194          0         7         4         10        1         7
Vardas195           Pavarde195          6         8         2         5         10        2
Vardas196           Pavarde196          7         3         6         6         6         9
Vardas197           Pavarde197          1         8         2         2         3         2
Vardas198           Pavarde198          2         5         0         0         5         7
Vardas199           Pavarde199          8         10        2         2         3         10
Vardas200           Pavarde200          1         7         10        3         4         10
Vardas201           Pavarde201          9         10        10        6         8         2
Vardas202           Pavarde202          9         8         2         1         3         1
Vardas203           Pavarde203          8         10        1         7         1         7
Vardas204           Pavarde204          6         5         10        0         3         9
Vardas205           Pavarde205          1         6         10        5         0         5
Vardas206           Pavarde206          1         7         1         10        4         9
Vardas207           Pavarde207          5         4         1         9         5         0
Vardas208           Pavarde208          3         10        3         3         10        7
Vardas209           Pavarde209          7         0         9         8         2         5
Vardas210           Pavarde210          6         6         4         5         2         0
Vardas211           Pavarde211          4         7         5         10        5         1
Vardas212           Pavarde212          2         10        10        0         1         5
Vardas213           Pavarde213          2         4         0         4         7         2
Vardas214           Pavarde214          3         1         10        4         2         8
Vardas215           Pavarde215          6         6         6         0         9         8
Vardas216           Pavarde216          3         6         1         6         3         2
Vardas217           Pavarde217          0         9         10        5         6         6
Vardas218           Pavarde218          2         2         3         0         1         0
Vardas219           Pavarde219          6         7         8         2         1         6
Vardas220           Pavarde220          7         8         4         1         1         1
Vardas221           Pavarde221          1         8         10        3         3         1
Vardas222           Pavarde222          2         2         9         8         7         0
Vardas223           Pavarde223          3         8         7         7         8         9
Vardas224           Pavarde224          5         7         2         8         6         10
