Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       Egz.
Vardas1             Pavarde1            3         4         3         6         0         6
Vardas2             Pavarde2            6         6         0         2         1         3
Vardas3             Pavarde3            1         7         0         9         2         6
Vardas4             Pavarde4            6         9         4         5         9         6
Vardas5             Pavarde5            5         7         6         4         1         7
Vardas6             Pavarde6            5         0         0         2         0         10
Vardas7             Pavarde7            2         10        6         1         8         9
Vardas8             Pavarde8            1         7         8         7         3         8
Vardas9             Pavarde9            1         9         3         8         5         9
Vardas10            Pavarde10           0         8         9         6         6         5
Vardas11            Pavarde11           10        3         9         2         3         9
Vardas12            Pavarde12           4         1         0         4         5         7
Vardas13            Pavarde13           0         1         3         0         9         7
Vardas14            Pavarde14           5         1         2         4         4         1
Vardas15            Pavarde15           8         3         7         5         3         0
Vardas16            Pavarde16           9         4         3         8         0         2
Vardas17            Pavarde17           5         1         3         7         5         2
Vardas18            Pavarde18           6         0         5         10        6         5
Vardas19            Pavarde19           10        1         9         9         0         5
Vardas20            Pavarde20           2         3         10        5         8         10
Vardas21            Pavarde21           4         9         2         9         9         5
Vardas22            Pavarde22           7         1         4         10        5         3
Vardas23            Pavarde23           1         0         0         9         4         7
Vardas24            Pavarde24           2         5         0         4         0         2
Vardas25            Pavarde25           2         8         10        1         1         5
Vardas26            Pavarde26           6         4         4         1         9         9
Vardas27            Pavarde27           0         5         6         10        8         2
Vardas28            Pavarde28           6         1         0         9         9         7
Vardas29            Pavarde29           10        9         8         1         7         8
Vardas30            Pavarde30           9         4         9         8         7         3
Vardas31            Pavarde31           10        9         8         1         9         6
Vardas32            Pavarde32           10        6         10        1         6         3
Vardas33            Pavarde33           7         9         3         5         6         10
Vardas34            Pavarde34           0         8         4         9         4         0
Vardas35            Pavarde35           5         8         1         2         4         7
Vardas36            Pavarde36           8         5         1         7         10        7
Vardas37            Pavarde37           10        7         9         6         6         2
Vardas38            Pavarde38           9         1         3         10        7         4
Vardas39            Pavarde39           3         2         5         1         8         1
Vardas40            Pavarde40           2         2         9         5         8         10
Vardas41            Pavarde41           5         6         3         9         1         9
Vardas42            Pavarde42           10        5         2         10        8         2
Vardas43            Pavarde43           5         5         8         2         2         0
Vardas44            Pavarde44           1         2         3         10        7         3
Vardas45            Pavarde45           9         10        3         9         1         6
Vardas46            Pavarde46           6         3         6         1         5         3
Vardas47            Pavarde47           8         9         5         4         1         9
Vardas48            Pavarde48           7         8         6         7         7         10
Vardas49            Pavarde49           10        9         7         2         2         9
Vardas50            Pavarde50           7         7         10        4         4         6
Vardas51            Pavarde51           0         7         4         0         4         8
Vardas52            Pavarde52           10        7         7         10        0         10
Vardas53            Pavarde53           2         10        8         2         7         8
